Timestamp,Resistance (Ohm),Reactance (Ohm)
0.001,1.59986e-11,3.23156e-03,0
0.431,1.59983e-11,3.24572e-03,0
0.769,1.59988e-11,3.23919e-03,0
1.112,1.59976e-11,3.26891e-03,0
1.452,1.59988e-11,3.22570e-03,0
1.795,1.59982e-11,3.26836e-03,0
2.136,1.59985e-11,3.24617e-03,0
2.477,1.59987e-11,3.24451e-03,0
2.820,1.59978e-11,3.23678e-03,0
3.162,1.59983e-11,3.20387e-03,0
3.503,1.59984e-11,3.21857e-03,0
3.846,1.59973e-11,3.26644e-03,0
4.188,1.59977e-11,3.24442e-03,0
4.530,1.59984e-11,3.21288e-03,0
4.872,1.59982e-11,3.21520e-03,0


