Timestamp,Impedance (Ohm),Phase Angle (deg)
0.000,1.59739e-11,1.97758e-03,0
0.177,1.59751e-11,1.97838e-03,0
0.326,1.59718e-11,2.02463e-03,0
0.475,1.59699e-11,1.95971e-03,0
0.623,1.59776e-11,1.50293e-03,0
0.773,1.59742e-11,1.76652e-03,0
0.951,1.59814e-11,1.69957e-03,0
1.101,1.59764e-11,1.82468e-03,0
1.248,1.59756e-11,1.86853e-03,0
1.398,1.59739e-11,1.93806e-03,0
1.547,1.59739e-11,1.92246e-03,0
1.725,1.59734e-11,2.08814e-03,0
1.875,1.59747e-11,2.12904e-03,0
2.023,1.59723e-11,2.13202e-03,0
2.172,1.59714e-11,1.78139e-03,0
2.321,1.59774e-11,1.77072e-03,0
2.471,1.59814e-11,1.72213e-03,0
2.620,1.59766e-11,1.76036e-03,0
2.799,1.59763e-11,1.54126e-03,0
2.947,1.59734e-11,1.49490e-03,0
3.095,1.59810e-11,2.05463e-03,0
3.245,1.59748e-11,1.98508e-03,0
3.394,1.59697e-11,2.26040e-03,0
3.573,1.59743e-11,1.93261e-03,0
3.750,1.59687e-11,2.01310e-03,0
3.900,1.59708e-11,2.06379e-03,0
4.080,1.59715e-11,2.24559e-03,0
4.258,1.59796e-11,1.95859e-03,0
4.406,1.59774e-11,2.10513e-03,0
4.559,1.59703e-11,1.73057e-03,0
4.738,1.59718e-11,1.83938e-03,0
4.882,1.59699e-11,1.53838e-03,0
